,index,text,label,multi_label,split,language,length,source
0,31,"Research backs Prime Minister David Cameron's stance. One in 10 of Britain's top economists, working in London's Financial District, academia and small businesses, believe the economy will be damaged if the UK leaves the European Union, according to a study released Sunday. The study, which Observer said would be the largest of its kind and interviewed more than 600 economists, is a fuel for Prime Minister David Cameron's campaign to keep the UK in the 28-member bloc in the June 23 referendum, despite opposition from some members of his party. Research by the Ipsos-MORI institute reveals that 88 percent of those interviewed believe that leaving the EU and the single market would damage Britain's growth prospects over the next five years, and 82 percent said it would likely have a negative impact on family income. According to Observer",0,human,test,pt,304,MassiveSumm_voaportugues
1,62,"Antarctic seas may have provided Earth with life, according to new research. Scientists have found that the ice and salt stalagmites present in the Antarctic seas may have been formed by chemical processes similar to those found on other planets and moons, suggesting that life on Earth may have been influenced by astrochemical processes. The research was done by a team of scientists at the University of Oxford, who analyzed water samples from an underground lake in Greenland. They found that the lake contained a large amount of organic compounds, including some molecules that are specific to marine life. Scientists believe that these organic compounds may have been formed by chemical reactions in which ice and salt are present, suggesting that these processes may have occurred on other planets and moons. This discovery has significant implications for the search for life on other planets, showing that chemical processes ast",1,vicuna-13b,test,pt,203,MULTITuDE_MassiveSumm_acorianooriental
2,99,"in France in France — Photo: ReproductionBy David Fregoso, Brazilian Agency | 01:46 One of the governments in Venezuela affected by the impacts of the crisis is that of President Jair Bolsonaro. He's not a former president, but his children are. And there are several companies that have been affected by the crisis. According to the Audit Advisory Committee, it will take about R$150 million to keep Venezuelans in France. At the time, Venezuela was in a difficult situation to keep its people in. The country has been devastated by the economic crisis and the humanitarian disaster. Venezuela's first marriage anniversary was the end of this Sunday morning for five or two years. Some Venezuelan women who came from cities also lost out because they didn't get to know each other. Bolsonaro became friends with one of Maduro's leaders.",1,opt-iml-max-1.3b,test,pt,129,MULTITuDE_MassiveSumm_bbc
3,172,"Women have a remarkable presence in French newspapers. They've been fighting for equality in the newspapers for decades, and the fight continues to this day. Today, women have become the most remarkable and prominent presence in the French press. The presence of journalists and editors in Dominican editions, regional newspapers and digital dailies is a fact that has already become notorious. That's a reflection of an increase in awareness and public support, as well as the growing involvement of women at all levels of newspaper publishing.",1,alpaca-lora-30b,test,pt,92,MULTITuDE_MassiveSumm_rfi
4,211,"Immediately from the site of the morning paper Correio, at www.cmjornal.pt, a presidential spokesman argues that there is """" no such criticism """" of Cape Verde, according to what he told the news agency Lusa.17:04The President of the Republic said this Friday that the Cape Verdean government is """" cautiously """" responding to the results of the UN audit on police violence in prisons, because """" there is no such criticism """" of national legislation. On Wednesday, the UN released a report that police violence in Cape Verde's prisons continues to be a problem, and called on the Cape Verdean authorities to ""strengthen the protection of human rights.""",1,opt-66b,test,pt,98,MULTITuDE_MassiveSumm_voaportugues
5,235,"A powerful 8.1 magnitude earthquake struck the southern coast of Mexico late Friday night, 7th, reported the United States Geological Survey, which records seismic activity around the world. By now, the number of confirmed deaths in the states of Chiapas and Tabasco has risen to 15. The Pacific Tsunami Warning Center has issued warnings of potential giant waves up to four meters high for Mexico, Guatemala, El Salvador, Costa Rica, Nicaragua, Panama, Honduras and Ecuador. The earthquake struck almost all of Mexico and was felt in several Central American countries, particularly Guatemala. At least three people have died in the Mexican state of Chiapas, reported Governor Manuel Velasco, all buried inside a house in the city of San Cristóbal. He also urged coastal residents to leave their homes at risk of a tsunami. Governor Arturo Núñez of Tabasco reported the deaths of ",0,human,test,pt,206,MassiveSumm_voaportugues
6,240,"Twelve districts on the Portuguese continent are at high risk of flooding, according to information released by the Portuguese Institute of the Sea and Atmosphere (IPMA). The districts covered by the alert are Loulé, Tavira, São Brás de Alportel, Alcoutim, Castro Marim, Portimão, Monchique, Aljezur, Odemira, Sardoal, Abrantes and Mação. This is a worrying situation, because the high temperatures and lack of rain have contributed to the increased risk of fires in Portugal. IPMA is alerting to the need for preventive measures, such as clearing slaughterhouses and forests, to prevent the spread of possible fires. The Portuguese authorities have been taking measures to prevent the occurrence of fires, including conducting awareness campaigns and increasing surveillance in risk areas. However, it is important for all citizens to be aware of the danger and to act responsibly, avoiding risky behaviors that could endanger their safety and the safety of others.",1,gpt-3.5-turbo,test,pt,202,MULTITuDE_MassiveSumm_acorianooriental
7,242,"Mozambican civil society yesterday questioned the distribution of legislative and provincial mandates, saying it does not represent a fair distribution of political representation in the country. According to a statement released by civil society, the division of legislative and provincial mandates does not follow a fair division of the country's regions. Civil society argues that the regional division of legislation does not take into account the population and the demographic density of the different regions of the country. Furthermore, the declaration states that the regional division of the legislature impedes the emergence of political parties that represent specific social groups. According to civil society, the electoral system in Mozambique today is not able to guarantee a fair representation of the Mozambican people in the country's political decisions. Civil society is therefore calling for a review of the country's electoral system to ensure that citizens are fairly and effectively represented in the political process.",1,vicuna-13b,test,pt,190,MULTITuDE_MassiveSumm_voaportugues
8,247,"China eloquently hailed last week's visit by its vice president to the United States, saying it came at an important moment and helped strengthen what it considers one of the most important bilateral state relations in the world. Stephen Ho reports from Beijing on how Xi Jinping's visit was followed, and says that that departure allowed Chinese to get to know that future leader of the country better. The spokesman for China's foreign affairs ministry, Hong Lei, made lengthy comments this Tuesday, describing Vice President Xi Jinping's visit to the United States as a """" great event in Sino-American relations. """" The spokesman for the Chinese government said the visit was a success, in terms of further implementing a Sino-American partnership based on mutual respect and benefit. Hong Lei said China still sees this visit with great significance. Vice President Xi Jinping held high-level meetings in Washington,",0,human,test,pt,161,MassiveSumm_voaportugues
9,255,"in the country. In: Globo.com. 14. February 2019, abrufen am 19. February 2019 (Brasilianisches Portugiesisch).## WeblinksCommons: Venezuela-Zuwanderung in Brazil — Sammlung von Bildern, Videos und AudiodateienCommons: Venezuela-Zuwanderung in Colombia — Sammlung von Bildern, Videos und Audiodateien* Venedig und Wien in Abstimmung mit Europa?",1,llama-65b,test,pt,42,MULTITuDE_MassiveSumm_bbc
